Station ID,Station Name,Province,Reported Station,Max Temp (°C),Date
41567,Attock,Punjab,Attock,44,"18 May, 2025"
41700,BAHAWALPUR,Punjab,BAHAWALPUR,44,"18 May, 2025"
41562,BANNU,KPK,BANNU,43,"18 May, 2025"
43544,Baramulla,Kashmir,Baramulla,31,"18 May, 2025"
41634,CHAKWAL,Punjab,CHAKWAL,42,"18 May, 2025"
41506,CHITRAL,KPK,CHITRAL,36,"18 May, 2025"
41652,D G KHAN,Punjab,D G KHAN,46,"18 May, 2025"
41624,D-I-KHAN,KPK,D-I-KHAN,45,"18 May, 2025"
41743,DADU,Sindh,DADU,48,"18 May, 2025"
41508,DIR,KPK,DIR,35,"18 May, 2025"
41630,FAISALABAD,Punjab,FAISALABAD,44,"18 May, 2025"
43533,GARHI DOPATTA,Kashmir,GARHI DOPATTA,39,"18 May, 2025"
41516,GILGIT,GB,GILGIT,37,"18 May, 2025"
41757,GWADAR,Balochistan,GWADAR,36,"18 May, 2025"
41505,HUNZA,GB,HUNZA,30,"18 May, 2025"
41764,HYDERABAD,Sindh,HYDERABAD,41,"18 May, 2025"
41577,ISLAMABAD,Islamabad,ISLAMABAD,41,"18 May, 2025"
41598,JHELUM,Punjab,JHELUM,44,"18 May, 2025"
41756,JIWANI,Balochistan,JIWANI,34,"18 May, 2025"
43534,Jammu,Kashmir,Jammu,41,"18 May, 2025"
41696,KALAT,Balochistan,KALAT,34,"18 May, 2025"
41780,KARACHI,Sindh,KARACHI,35,"18 May, 2025"
41640,LAHORE,Punjab,LAHORE,43,"18 May, 2025"
43535,Leh,Kashmir,Leh,19,"18 May, 2025"
41525,MALAM JABBA,KPK,MALAM JABBA,28,"18 May, 2025"
41786,MITHI,Sindh,MITHI,44,"18 May, 2025"
41747,MOHENJO-DARO,Sindh,MOHENJO-DARO,46,"18 May, 2025"
41675,MULTAN,Punjab,MULTAN,45,"18 May, 2025"
41573,MURREE,Punjab,MURREE,28,"18 May, 2025"
43532,MUZAFFARABAD,Kashmir,MUZAFFARABAD,40,"18 May, 2025"
41749,NAWABSHAH,Sindh,NAWABSHAH,45,"18 May, 2025"
41710,NOKKUNDI,Balochistan,NOKKUNDI,46,"18 May, 2025"
41530,PESHAWAR AIRPORT,KPK,PESHAWAR AIRPORT,43,"18 May, 2025"
43541,Pulwama,Kashmir,Pulwama,30,"18 May, 2025"
41660,QUETTA,Balochistan,QUETTA,39,"18 May, 2025"
41574,RAWALAKOT,Kashmir,RAWALAKOT,30,"18 May, 2025"
41571,RAWALPINDI,Punjab,RAWALPINDI,40,"18 May, 2025"
41680,SAHIWAL,Punjab,SAHIWAL,44,"18 May, 2025"
41523,SAIDU SHARIF,KPK,SAIDU SHARIF,38,"18 May, 2025"
41593,SARGODHA,Punjab,SARGODHA,45,"18 May, 2025"
41697,SIBBI,Balochistan,SIBBI,46,"18 May, 2025"
41517,SKARDU,GB,SKARDU,29,"18 May, 2025"
41724,SUKKUR,Sindh,SUKKUR,46,"18 May, 2025"
43543,Shopian,Kashmir,Shopian,30,"18 May, 2025"
43536,Srinagar,Kashmir,Srinagar,32,"18 May, 2025"
41783,THATTA,Sindh,THATTA,39,"18 May, 2025"
41738,TURBAT,Balochistan,TURBAT,43,"18 May, 2025"
41520,ASTORE,GB,ASTORE,27,"17 May, 2025"
41535,Abbotabad,KPK,Abbotabad,35,"17 May, 2025"
43542,Anantnag,Kashmir,Anantnag,31,"17 May, 2025"
