Station ID,Station Name,Province,Reported Station,Max Temp (°C),Date
41577,ISLAMABAD,Islamabad,ISLAMABAD,35,2025-04-18
41660,QUETTA,Balochistan,QUETTA,35,2025-04-17
41523,SAIDU SHARIF,KPK,SAIDU SHARIF,31,2025-04-17
41598,JHELUM,Punjab,JHELUM,39,2025-04-17
41757,GWADAR,Balochistan,GWADAR,35,2025-04-17
41780,KARACHI,Sindh,KARACHI,35,2025-04-17
41517,SKARDU,GB,SKARDU,25,2025-04-17
41505,HUNZA,GB,HUNZA,25,2025-04-17
41696,KALAT,Balochistan,KALAT,31,2025-04-17
41634,CHAKWAL,Punjab,CHAKWAL,38,2025-04-17
43533,GARHI DOPATTA,Kashmir,GARHI DOPATTA,34,2025-04-17
43532,MUZAFFARABAD,Kashmir,MUZAFFARABAD,36,2025-04-17
41508,DIR,KPK,DIR,29,2025-04-17
41574,RAWALAKOT,Kashmir,RAWALAKOT,26,2025-04-17
43536,Srinagar,Kashmir,Srinagar,26,2025-04-17
41506,CHITRAL,KPK,CHITRAL,27,2025-04-17
41783,THATTA,Sindh,THATTA,37,2025-04-17
41535,Abbotabad,KPK,Abbotabad,30,2025-04-17
41530,PESHAWAR AIRPORT,KPK,PESHAWAR AIRPORT,35,2025-04-17
41624,D-I-KHAN,KPK,D-I-KHAN,41,2025-04-17
41786,MITHI,Sindh,MITHI,45,2025-04-17
41743,DADU,Sindh,DADU,46,2025-04-17
41640,LAHORE,Punjab,LAHORE,40,2025-04-17
41680,SAHIWAL,Punjab,SAHIWAL,43,2025-04-17
41710,NOKKUNDI,Balochistan,NOKKUNDI,43,2025-04-17
41697,SIBBI,Balochistan,SIBBI,47,2025-04-17
41516,GILGIT,GB,GILGIT,28,2025-04-17
41700,BAHAWALPUR,Punjab,BAHAWALPUR,46,2025-04-17
41652,D G KHAN,Punjab,D G KHAN,44,2025-04-17
41724,SUKKUR,Sindh,SUKKUR,45,2025-04-17
41593,SARGODHA,Punjab,SARGODHA,40,2025-04-17
41573,MURREE,Punjab,MURREE,24,2025-04-17
41567,Attock,Punjab,Attock,38,2025-04-17
43535,Leh,Kashmir,Leh,18,2025-04-17
43534,Jammu,Kashmir,Jammu,37,2025-04-17
41747,MOHENJO-DARO,Sindh,MOHENJO-DARO,46,2025-04-17
41738,TURBAT,Balochistan,TURBAT,44,2025-04-17
41630,FAISALABAD,Punjab,FAISALABAD,41,2025-04-17
43541,Pulwama,Kashmir,Pulwama,23,2025-04-17
41571,RAWALPINDI,Punjab,RAWALPINDI,35,2025-04-17
41520,ASTORE,GB,ASTORE,23,2025-04-17
41749,NAWABSHAH,Sindh,NAWABSHAH,47,2025-04-17
41525,MALAM JABBA,KPK,MALAM JABBA,20,2025-04-17
41577,ISLAMABAD,Islamabad,ISLAMABAD,35,2025-04-17
41675,MULTAN,Punjab,MULTAN,43,2025-04-17
41562,BANNU,KPK,BANNU,38,2025-04-17
41764,HYDERABAD,Sindh,HYDERABAD,44,2025-04-17
41756,JIWANI,Balochistan,JIWANI,35,2025-04-17
41724,SUKKUR,Sindh,SUKKUR,44,2025-04-16
43534,Jammu,Kashmir,Jammu,36,2025-04-16
41749,NAWABSHAH,Sindh,NAWABSHAH,47,2025-04-16
41571,RAWALPINDI,Punjab,RAWALPINDI,34,2025-04-16
41756,JIWANI,Balochistan,JIWANI,33,2025-04-16
41680,SAHIWAL,Punjab,SAHIWAL,42,2025-04-16
41562,BANNU,KPK,BANNU,40,2025-04-16
43541,Pulwama,Kashmir,Pulwama,29,2025-04-16
41710,NOKKUNDI,Balochistan,NOKKUNDI,43,2025-04-16
41697,SIBBI,Balochistan,SIBBI,47,2025-04-16
41624,D-I-KHAN,KPK,D-I-KHAN,42,2025-04-16
41505,HUNZA,GB,HUNZA,28,2025-04-16
41700,BAHAWALPUR,Punjab,BAHAWALPUR,43,2025-04-16
41652,D G KHAN,Punjab,D G KHAN,42,2025-04-16
41530,PESHAWAR AIRPORT,KPK,PESHAWAR AIRPORT,40,2025-04-16
41738,TURBAT,Balochistan,TURBAT,43,2025-04-16
41517,SKARDU,GB,SKARDU,25,2025-04-16
41506,CHITRAL,KPK,CHITRAL,32,2025-04-16
41508,DIR,KPK,DIR,33,2025-04-16
41574,RAWALAKOT,Kashmir,RAWALAKOT,27,2025-04-16
41743,DADU,Sindh,DADU,46,2025-04-16
43532,MUZAFFARABAD,Kashmir,MUZAFFARABAD,38,2025-04-16
41577,ISLAMABAD,Islamabad,ISLAMABAD,36,2025-04-16
41640,LAHORE,Punjab,LAHORE,38,2025-04-16
41786,MITHI,Sindh,MITHI,45,2025-04-16
41523,SAIDU SHARIF,KPK,SAIDU SHARIF,35,2025-04-16
41630,FAISALABAD,Punjab,FAISALABAD,41,2025-04-16
41747,MOHENJO-DARO,Sindh,MOHENJO-DARO,45,2025-04-16
43536,Srinagar,Kashmir,Srinagar,30,2025-04-16
41764,HYDERABAD,Sindh,HYDERABAD,45,2025-04-16
41516,GILGIT,GB,GILGIT,34,2025-04-16
41593,SARGODHA,Punjab,SARGODHA,41,2025-04-16
41525,MALAM JABBA,KPK,MALAM JABBA,24,2025-04-16
41696,KALAT,Balochistan,KALAT,31,2025-04-16
41634,CHAKWAL,Punjab,CHAKWAL,37,2025-04-16
43535,Leh,Kashmir,Leh,18,2025-04-16
41520,ASTORE,GB,ASTORE,25,2025-04-16
41535,Abbotabad,KPK,Abbotabad,31,2025-04-16
43533,GARHI DOPATTA,Kashmir,GARHI DOPATTA,37,2025-04-16
41783,THATTA,Sindh,THATTA,37,2025-04-16
41675,MULTAN,Punjab,MULTAN,42,2025-04-16
41660,QUETTA,Balochistan,QUETTA,36,2025-04-16
41598,JHELUM,Punjab,JHELUM,38,2025-04-16
41780,KARACHI,Sindh,KARACHI,37,2025-04-16
41567,Attock,Punjab,Attock,40,2025-04-16
41757,GWADAR,Balochistan,GWADAR,34,2025-04-16
41573,MURREE,Punjab,MURREE,23,2025-04-16
41743,DADU,Sindh,DADU,45,2025-04-15
